match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,metadata,match_week,competition_stage,stadium,referee,home_team_id,home_team_name,away_team_id,away_team_name
3749493,2003-08-16,13:00:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 1, 'home_team_name': 'Arsenal', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}","{'away_team_id': 29, 'away_team_name': 'Everton', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 86, 'name': 'David Moyes', 'nickname': None, 'dob': '1963-04-25', 'country': {'id': 201, 'name': 'Scotland'}}]}",2,1,available,scheduled,2025-06-24T13:51:11.128121,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",1,"{'id': 1, 'name': 'Regular Season'}","{'id': 1000243, 'name': 'Arsenal Stadium', 'country': {'id': 68, 'name': 'England'}}",,1,Arsenal,29,Everton
3749448,2004-04-09,11:30:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 1, 'home_team_name': 'Arsenal', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}}","{'away_team_id': 24, 'away_team_name': 'Liverpool', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}}",4,2,available,scheduled,2025-06-24T13:50:14.170144,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",31,"{'id': 1, 'name': 'Regular Season'}","{'id': 1000243, 'name': 'Arsenal Stadium', 'country': {'id': 68, 'name': 'England'}}",,1,Arsenal,24,Liverpool
3749196,2003-11-08,14:00:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 1, 'home_team_name': 'Arsenal', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}","{'away_team_id': 38, 'away_team_name': 'Tottenham Hotspur', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 3533, 'name': 'David Pleat', 'nickname': None, 'dob': '1945-01-15', 'country': {'id': 68, 'name': 'England'}}]}",2,1,available,scheduled,2025-06-24T13:48:21.086533,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",12,"{'id': 1, 'name': 'Regular Season'}","{'id': 1000243, 'name': 'Arsenal Stadium', 'country': {'id': 68, 'name': 'England'}}",,1,Arsenal,38,Tottenham Hotspur
3749454,2003-08-31,14:05:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 36, 'home_team_name': 'Manchester City', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 4202, 'name': 'Kevin Joseph Keegan', 'nickname': 'Kevin Keegan', 'dob': '1951-02-14', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 1, 'away_team_name': 'Arsenal', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}",1,2,available,scheduled,2025-06-24T13:42:03.275764,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",1,"{'id': 1, 'name': 'Regular Season'}","{'id': 4715, 'name': 'Etihad Stadium', 'country': {'id': 68, 'name': 'England'}}",,36,Manchester City,1,Arsenal
3749603,2004-05-09,14:05:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 55, 'home_team_name': 'Fulham', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 403, 'name': 'Chris Coleman', 'nickname': 'Óscar Pareja', 'dob': '1970-06-10', 'country': {'id': 249, 'name': 'Wales'}}]}","{'away_team_id': 1, 'away_team_name': 'Arsenal', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}",0,1,available,scheduled,2025-06-24T09:42:29.802608,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",2,"{'id': 1, 'name': 'Regular Season'}","{'id': 4844, 'name': 'MATRADE Loftus Road', 'country': {'id': 68, 'name': 'England'}}",,55,Fulham,1,Arsenal
3749052,2004-02-07,14:00:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 46, 'home_team_name': 'Wolverhampton Wanderers', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 3602, 'name': 'Dave Jones', 'nickname': None, 'dob': '1956-08-17', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 1, 'away_team_name': 'Arsenal', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}",1,3,available,scheduled,2025-06-24T09:45:12.217499,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",2,"{'id': 1, 'name': 'Regular Season'}","{'id': 217, 'name': 'Molineux Stadium', 'country': {'id': 68, 'name': 'England'}}",,46,Wolverhampton Wanderers,1,Arsenal
3749296,2003-09-13,13:00:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 1, 'home_team_name': 'Arsenal', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}","{'away_team_id': 105, 'away_team_name': 'Portsmouth', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 749, 'name': 'Harry Redknapp', 'nickname': None, 'dob': '1947-03-02', 'country': {'id': 68, 'name': 'England'}}]}",1,1,available,scheduled,2025-06-23T12:40:23.553815,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",5,"{'id': 1, 'name': 'Regular Season'}","{'id': 1000243, 'name': 'Arsenal Stadium', 'country': {'id': 68, 'name': 'England'}}",,1,Arsenal,105,Portsmouth
3749522,2003-12-26,11:00:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 1, 'home_team_name': 'Arsenal', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}","{'away_team_id': 46, 'away_team_name': 'Wolverhampton Wanderers', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 3602, 'name': 'Dave Jones', 'nickname': None, 'dob': '1956-08-17', 'country': {'id': 68, 'name': 'England'}}]}",3,0,available,scheduled,2025-06-23T12:33:24.978819,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",18,"{'id': 1, 'name': 'Regular Season'}","{'id': 1000243, 'name': 'Arsenal Stadium', 'country': {'id': 68, 'name': 'England'}}",,1,Arsenal,46,Wolverhampton Wanderers
3749246,2004-03-28,17:05:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 1, 'home_team_name': 'Arsenal', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}","{'away_team_id': 39, 'away_team_name': 'Manchester United', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 790, 'name': 'Alex Ferguson', 'nickname': None, 'dob': '1941-12-31', 'country': {'id': 201, 'name': 'Scotland'}}]}",1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",30,"{'id': 1, 'name': 'Regular Season'}","{'id': 1000243, 'name': 'Arsenal Stadium', 'country': {'id': 68, 'name': 'England'}}",,1,Arsenal,39,Manchester United
3749257,2004-05-15,16:00:00.000,"{'competition_id': 2, 'country_name': 'England', 'competition_name': 'Premier League'}","{'season_id': 44, 'season_name': '2003/2004'}","{'home_team_id': 1, 'home_team_name': 'Arsenal', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 577, 'name': 'Arsène Wenger', 'nickname': None, 'dob': '1949-10-22', 'country': {'id': 78, 'name': 'France'}}]}","{'away_team_id': 22, 'away_team_name': 'Leicester City', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 2974, 'name': 'Micky Adams', 'nickname': None, 'dob': '1961-11-08', 'country': {'id': 68, 'name': 'England'}}]}",2,1,available,scheduled,2020-08-30T08:12:14.579037,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",38,"{'id': 1, 'name': 'Regular Season'}","{'id': 1000243, 'name': 'Arsenal Stadium', 'country': {'id': 68, 'name': 'England'}}",,1,Arsenal,22,Leicester City
