match_id,team_id,xg,shots,shots_on_target,total_passes,completed_passes,pass_accuracy,yellow_cards,red_cards,corners
3749493,1,2.121151807,14,4,422,325,0.7701421800947867,1,1,6
3749493,29,1.2674833119999998,15,5,381,253,0.6640419947506562,3,0,8
3749448,1,2.006133213,15,6,516,416,0.8062015503875969,3,0,2
3749448,24,1.9407602953,13,4,381,262,0.6876640419947506,1,0,8
3749196,1,1.728183535,14,5,470,330,0.7021276595744681,1,0,8
3749196,38,0.839651094,7,2,293,168,0.5733788395904437,4,0,5
3749454,36,0.6670564635,12,6,450,277,0.6155555555555555,4,0,5
3749454,1,1.3439964649999998,11,5,554,416,0.7509025270758123,3,0,5
3749603,55,1.4042848144999998,17,2,491,345,0.7026476578411406,1,0,6
3749603,1,1.198621473,9,5,498,367,0.7369477911646586,3,0,7
3749052,46,0.7016806623999999,13,2,364,226,0.6208791208791209,3,0,6
3749052,1,1.862381166,11,7,590,454,0.7694915254237288,1,0,4
3749296,1,2.2960953522999996,17,7,511,396,0.7749510763209393,2,0,8
3749296,105,1.2770132078,10,3,345,220,0.6376811594202898,2,0,1
3749522,1,1.012276184,16,8,642,532,0.8286604361370716,2,0,14
3749522,46,0.6062305450000001,7,2,366,257,0.7021857923497268,5,0,3
3749246,1,1.5364516472999998,20,8,364,261,0.717032967032967,1,0,8
3749246,39,1.119947224,12,4,465,343,0.7376344086021506,1,0,7
3749257,1,2.536226873,23,9,648,570,0.8796296296296297,0,0,7
3749257,22,0.110298596,2,1,341,236,0.6920821114369502,1,0,5
3749642,1,2.028118924,21,7,620,488,0.7870967741935484,0,0,12
3749642,75,0.6017388877,12,1,419,289,0.6897374701670644,0,0,4
3749358,47,0.37543659020000003,9,4,498,387,0.7771084337349398,1,0,3
3749358,1,2.764292172,14,9,642,543,0.8457943925233645,0,0,5
3749346,101,0.6309059149999999,11,3,515,373,0.7242718446601941,2,0,4
3749346,1,2.3561225739999996,13,6,444,327,0.7364864864864865,0,0,3
3749253,24,1.3149204426,14,4,490,364,0.7428571428571429,2,0,11
3749253,1,0.6353242397,12,6,461,352,0.7635574837310195,2,0,3
3749079,1,1.866726251,15,6,510,405,0.7941176470588235,1,0,6
3749079,33,0.26322938799999995,8,3,479,371,0.7745302713987474,2,0,3
3749465,98,0.35194604,9,1,477,335,0.7023060796645703,1,0,8
3749465,1,1.009079916,13,5,609,496,0.8144499178981938,1,0,3
3749133,59,0.6503369605,13,2,439,304,0.6924829157175398,4,0,3
3749133,1,1.5202849585,14,8,510,371,0.7274509803921568,1,0,2
3749528,1,2.2249199645999997,16,5,481,352,0.7318087318087318,0,0,3
3749528,37,0.962907407,7,3,446,303,0.679372197309417,1,0,4
3749233,1,1.6159708160000001,14,6,582,469,0.8058419243986255,3,0,5
3749233,36,1.2989333757,15,7,387,255,0.6589147286821705,2,1,4
3749462,1,0.4411926540000001,10,2,669,569,0.8505231689088192,0,0,2
3749462,54,0.115187054,3,1,416,296,0.7115384615384616,2,0,3
3749552,39,1.058185237,8,4,519,392,0.7552986512524085,4,0,4
3749552,1,0.208258514,7,1,490,386,0.7877551020408163,3,0,3
3749276,33,1.5106605429999997,15,3,484,356,0.7355371900826446,4,0,11
3749276,1,1.112413512,12,5,422,325,0.7701421800947867,2,0,5
3749068,38,1.2690792419999999,14,7,428,333,0.7780373831775701,2,0,7
3749068,1,2.2112091439999997,9,5,451,362,0.802660753880266,1,0,4
3749310,25,0.1321921804,5,1,400,257,0.6425,1,0,2
3749310,1,0.838234107,17,7,554,436,0.7870036101083032,0,0,3
3749434,54,0.673920983,8,1,506,343,0.6778656126482213,1,0,8
3749434,1,2.065925048,8,5,466,354,0.759656652360515,2,0,6
3749192,1,2.178201292,25,12,632,514,0.8132911392405063,1,0,9
3749192,55,0.331041728,7,0,401,281,0.7007481296758105,1,0,0
3749360,1,1.979926658,15,7,531,408,0.768361581920904,1,0,5
3749360,98,0.807258125,8,3,537,382,0.7113594040968343,4,0,6
3749453,1,3.5858954350000003,17,7,531,420,0.7909604519774012,0,0,3
3749453,101,0.149725731,5,1,453,328,0.7240618101545254,0,0,8
3749278,328,1.206280118,19,6,397,255,0.6423173803526449,2,0,8
3749278,1,0.8115808489999999,8,4,444,337,0.759009009009009,2,0,1
3749274,105,1.1419585047,13,4,295,190,0.6440677966101694,0,0,5
3749274,1,1.6675710625000002,20,3,692,593,0.8569364161849711,2,0,12
3749590,22,0.35287644500000004,6,1,355,223,0.6281690140845071,1,0,7
3749590,1,0.891442901,13,3,551,428,0.7767695099818511,1,1,5
3749631,1,1.5454866319999998,15,5,556,404,0.7266187050359713,2,0,5
3749631,25,0.8817558427000001,13,3,354,202,0.5706214689265536,3,0,9
3749117,29,0.9617854979999999,12,4,428,278,0.6495327102803738,0,0,5
3749117,1,1.0562246990000002,11,3,459,335,0.7298474945533769,3,0,4
3749108,1,2.054274786,20,5,529,419,0.7920604914933838,3,0,2
3749108,59,0.293031591,8,3,375,256,0.6826666666666666,4,0,6
3749153,1,2.0639901166,22,9,577,470,0.8145580589254766,1,0,7
3749153,47,0.9489428525,6,3,368,263,0.7146739130434783,1,0,3
3749403,1,0.809159371,11,7,574,458,0.7979094076655052,1,0,6
3749403,328,1.1223681113,12,2,352,220,0.625,2,0,1
3749526,75,1.091213276,7,3,421,293,0.6959619952494062,1,0,7
3749526,1,0.3239041774,11,3,541,406,0.7504621072088724,1,0,5
3749431,37,0.4526846792,10,4,398,262,0.6582914572864321,0,0,6
3749431,1,1.3653032493,11,1,509,360,0.7072691552062869,1,0,4
