match_id,match_date,home_team_id,away_team_id,competition_id,season_id,home_avg_goals_scored_l5,home_avg_goals_conceded_l5,home_win_rate_l5,away_avg_goals_scored_l5,away_avg_goals_conceded_l5,away_win_rate_l5,h2h_home_wins,h2h_away_wins,h2h_avg_goals,h2h_avg_xg,result,home_avg_xg_l5,home_avg_xga_l5,home_shots_per_game_l5,home_shots_on_target_l5,home_possession_l5,home_pass_accuracy_l5,home_corners_l5,home_yellow_cards_l5,home_red_cards_l5,home_clean_sheets_l5,home_btts_pct_l5,home_winning_streak,home_losing_streak,home_unbeaten_streak,home_home_win_rate,home_away_win_rate,home_days_since_last_match,home_matches_in_14_days,away_avg_xg_l5,away_avg_xga_l5,away_shots_per_game_l5,away_shots_on_target_l5,away_possession_l5,away_pass_accuracy_l5,away_corners_l5,away_yellow_cards_l5,away_red_cards_l5,away_clean_sheets_l5,away_btts_pct_l5,away_winning_streak,away_losing_streak,away_unbeaten_streak,away_home_win_rate,away_away_win_rate,away_days_since_last_match,away_matches_in_14_days
3888704,1958-06-24,781,771,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888705,1958-06-29,781,790,0,0,5.0,2.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,4.815325868,1.4712429085,41.0,16.0,54.86111111111112,0.759493670886076,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888854,1962-05-30,781,794,0,0,5.0,2.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,4.0782917503,1.12776673325,33.5,13.5,54.742383512544805,0.7498255756005183,10.5,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888699,1970-06-03,781,17469,0,0,4.0,1.3333333333333333,1.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,3.5054578272000003,1.0503506501666668,33.666666666666664,13.0,54.52538638703837,0.7677291656590226,9.333333333333334,0.0,0.0,1.0,0.6666666666666666,3.0,0.0,3.0,1.0,0.0,2926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888700,1970-06-07,781,768,0,0,4.0,1.25,1.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,3.5824215874250003,1.39213842105,32.5,12.5,54.127735442452696,0.7842157654146982,7.75,0.5,0.0,1.0,0.75,4.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3889217,1970-06-09,781,905,0,0,3.4,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,3.0393158602400003,1.42122254884,30.0,11.2,53.45730727847094,0.799674037993673,7.4,0.4,0.0,2.0,0.6,5.0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3889218,1970-06-14,781,784,0,0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,2.5199881322800004,1.36036164394,26.2,9.4,53.62461993996965,0.8223055752152053,7.4,0.4,0.0,2.0,0.6,6.0,0.0,6.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888701,1970-06-17,781,783,0,0,2.8,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,2.58285236568,1.38789993142,27.0,9.6,53.01849101822226,0.8455888201880697,6.4,0.4,0.0,2.0,0.6,7.0,0.0,7.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888702,1970-06-21,781,914,0,0,3.0,1.2,1.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,2.39426104714,1.37728761848,24.8,8.8,53.62195691598729,0.8576848983131982,6.0,0.6,0.0,1.0,0.8,8.0,0.0,8.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3888711,1971-06-02,806,952,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Home Win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
